userId, retention(monthly_activity)
\x00007a01d6c74adbf2e5ca29843989ff9db2e0a73e63fcbf7b1057c19a714336,100000000000
\x000082d929c3757acb5142326a3558c40689d93cb7a6bbbf161635a7090a4645,1111111111110
\x000084413b7a923f9606ece64a0e07aaa7c1aaff282ec13fc065d7a38df81bc2,1111111111110
\x00009f48ad9c7a906134650a617638629a526263327ed4a735fb1821fbdec872,1000000000110
\x0000f4b623e5f3c2aafc31af42ae164ad001a1726a40c6cef11e8216b1b4a1f6,1101110000000
\x000128205982b6513ce1d03406aaa99842e04951e40d90ea877996ec1305b6b8,1111111111110
\x00014d25ed800e6442139b1eb64a49027809d9e17ebacc58385c47f9ae945472,1110
\x0001ca173770bc21113c2d5da44ca40b083d8236009a74bcccdf63ccaeaef6a4,1010011101000
\x0001d2fbfe9f040569eb5dcdae28f84bcfc64872bdc198cde86afd6b565d81ec,1111111111110
\x00023c77c7fb87d986a3936dcce9b96e8ac34b1640f718e4c6b59c3b52b416ec,1111000000000
\x0002430b02502a4d0f72370892507cebcb5eda2d1ec0336e68d2b9701a8461ea,100010010000
\x00024b85baa0809093fcab22437d78f20164357816c5ca2ca6d6a01d72732a2e,1111111111110
\x0002994be9763990ebe3ea5337bea87db93e0e608f6ac044aa3b1e8d3d0b57f7,111011001110
\x00030100a38c9c22b39a622aef4d7948a6bfe1f2fa67d43625bc080b5102cc18,10011111110
\x00031160b909899573617557b8ba32ecb3fdef9261f2591264e3dc10e2cbc904,10000000000
\x00031b472ed53dd5bbc7fab6ddbdea3876f218767aac08483a920299f3d14023,1111111111110
\x0003430d9c1e0626eaae3fedd61c916fbb0491e9cb2cf913bffa9920edb417f7,1111111110
\x00039960e34c931d0dccab44660f74ed852654cc7ef165122b20166bb7fe0d0c,1111111111110
\x0003bece204015fab837a0ef1b17d050746a133d42cdf85894ab4ef10aeca01d,10110
\x0004717660189f526dc3f64ac59cf3991d89621b4202323f93d3dad223848d77,1111111111010
\x0004a6af45347ed061e8c9f0afcc669650dc7a2646b1b7b6f928f6bc68804cec,111100
\x000526b343f23da17476ecf6b23e0c493af8196c6377df6d7fb228153711078a,11001000000
\x00052c96d751ebad246aa9dacb0423d04d3d427d07b33f1efddd44fc58386c3b,1010100000
\x00052ec468025dc54225eab63229d1cb3bcc17e6dc9bd59c3c1b25fb021f4e09,1111111111110
\x00056ca224c9a22f1331a314048fd5aa6d6c6fdba3eb3e2106bc4fcfd0ce0422,1111111111110
\x000612ec84570e089d01f84ff9a611c7d6751fade7cae0c7d8ca68174050305d,1001010111110
\x000623e20a03ad6074f039a8092ea613ee7c434e9622f0931e9067ebf511b3da,10000000000
\x00063caeb67a038af5c5ef149561c97a21c08fad4a3de1f5fa767110468afd9a,1111110
\x0006738c698bb2d604c4671cce84cbbfdff9c9b68afd4246bb171a689e9b4a64,1111111111110
\x00068dc2b52644af0741bb268ff76ef8f8ac9a48b7e04565013973c4200bd45f,1010000000000
\x0006c6d7e7ec4676e1f96bec0c189af46377c0f456365292479f5b04efa5f49a,1000
\x000796966f8fda68cf44e07515d4c54c305768c92e54cf51018b8eda365811c4,1110010110
\x0007cec528139be2fbafc872c59d194a94a7da19664b094a5d3a03a2da673614,100000000
\x0007d9eae224292752e602e475aae39aefd572c30f5504a967113b37ec7954e9,110010
\x0008d2578cda19276b743990d18bca44fd449df292271ce9756b1de89ea6198d,1111110
\x0008fbf6f30aebc9197b4274c4818891f5683419fef928f98a7995c9bd6b12e7,1111111111110
\x00091abb0b754c60880333ef57f08a14f8c5c4c95fb0b851e23982ac4b545b0f,1110110011000
\x0009c4b1e0cb0c9276b421350fe326f99d245bab3dc60d6d380f5a1b68e4679e,1111111111110
\x0009d9cc28add97805e5b4abe51b7c317449ad1bd5ae647dae43b6d7d0f4872a,110000000
\x000a1723faad884359a343d0a99a9989bccf068eb51edf60f8d11a98721c06ce,1000000000000
\x000a1b8b1f6f089b6e89d7721fef3e3e21d40c750cd81ff07fcd064993227848,1111111111110
\x000a4a9d686873ee444d7f6928a05f0c21d1779c0da0bc2e11ec80ad0180db25,1111111111110
\x000af2f052d4afe2b1ef10b4aea72a80cf429c916a6cfd0a5d31362a04268fb6,1111111111110
\x000b413d4f4bad09dcddf357674d571170f268ac66fb57e387efde4a38380d6f,100
\x000c43f57240ff7cedcc569b2523cec84eb30546b04be010c9ecf03b62ffa752,1011000000000
\x000c58253336573bb6eab3affd2db00bd777dd752ae6b28ca10939ff0d186d93,1111111111110
\x000ca907dd26f496c788db7eb87032a760133954568f30490465ec78deb32fba,1111111111110
\x000d0ea3306ab0a014492c6b488d16938406cc06ec62cb3af6604a23d351d67a,110
\x000d155157b2fe382d175e20503fcbd2bc5ba67d53fe6912c20e1111d7ef9c31,100000000000
\x000d175a5ae66ab742475bcb6592bb86234cd04eeefaf8cddacc1f6adafdf38c,1111111111110
\x000d7229336b4df7fb72e5e7d75c0aa982549e68b709f33af87959e3b45b316f,100
\x000d83c8a8a9d5170c4ae46df1d4360839d75cbb471dbaa2dd761ec1399e355f,1111111111010
\x000dc3046d7e36cbf0123b1e5fdefe45a5880399f12e483c2d4e01a51854d545,10
\x000debaf9896616e651200ffdda914d0f4cb3619562728a8bac03e392245db37,1111011111110
\x000e094bba6f0625ebe22f5ce7c199771a430c15aedcfc1ac19062eae7308aa1,1111111100
